,date,author,post_tag,post_id,link,Посетители,Читатели,Уникальные пользователи,% недочитываемости,Глубина просмотра,Ср. время на сайте (сек),0,Copyright
0,2023-12-18 19:03:00,Андреева Анастасия Андреевна,Эккаунты,318949,https://adindex.ru/news/ek/2023/12/18/318949.phtml,3.0,5.0,3.0,0.0,2.0,83.0,,
1,2023-12-18 18:51:00,Иванов Иван Иванович,Тенденции,318946,https://adindex.ru/news/tendencies/2023/12/18/318946.phtml,2.0,34.0,2.0,0.0,17.0,4050.0,,
2,2023-12-18 18:48:00,Данилова Светлана Викторовна,Маркетинг,318945,https://adindex.ru/news/marketing/2023/12/18/318945.phtml,11.0,51.0,11.0,0.0,2.0,39.0,,
3,2023-12-18 18:31:00,Сидоров Антон Владимирович,Дизайн,318944,https://adindex.ru/news/design/2023/12/18/318944.phtml,14.0,46.0,14.0,5.0,1.6,77.0,,
4,2023-12-18 17:51:00,Васильева Екатерина Васильевна,Креатив,318936,https://adindex.ru/news/creative/2023/12/18/318936.phtml,8.0,55.0,8.0,0.0,6.25,1934.75,,
5,2023-12-18 16:58:00,Андреева Анастасия Андреевна,Медиа,318923,https://adindex.ru/news/media/2023/12/18/318923.phtml,29.0,97.0,29.0,0.0,1.0714285700000001,23.0,,
6,2023-12-18 14:32:00,Андреева Анастасия Андреевна,Digital,318864,https://adindex.ru/news/digital/2023/12/18/318864.phtml,11.0,45.0,11.0,10.0,4.233333335,146.0,,
7,2023-12-18 13:51:00,Петрова Мария Сергеевна,Право,318862,https://adindex.ru/news/right/2023/12/18/318862.phtml,20.0,100.0,20.0,0.0,4.5,86.0,,
8,2023-12-18 12:53:00,Петрова Мария Сергеевна,Исследования,318849,https://adindex.ru/news/researches/2023/12/18/318849.phtml,28.0,68.0,27.0,0.0,4.0,67.0,,
9,2023-12-18 12:35:00,Жукова Ирина Ильинична,Исследования,318842,https://adindex.ru/news/researches/2023/12/18/318842.phtml,23.0,61.0,23.0,0.0,1.1666666650000002,141.433333335,,
10,2023-12-18 11:18:00,Андреева Анастасия Андреевна,Медиа,318818,https://adindex.ru/news/media/2023/12/18/318818.phtml,31.0,105.0,30.0,12.5,1.5833333325,44.930555555,,
11,2023-12-18 09:43:00,Васильева Екатерина Васильевна,Креатив,318793,https://adindex.ru/news/creative/2023/12/18/318793.phtml,40.0,167.0,39.0,0.0,2.5,116.73026315999999,,
12,2023-12-18 09:02:00,Данилова Светлана Викторовна,Тенденции,318791,https://adindex.ru/news/tendencies/2023/12/18/318791.phtml,30.0,120.0,29.0,0.0,3.0,138.33333333,,
13,2023-12-18 08:37:00,Васильева Екатерина Васильевна,Тенденции,318790,https://adindex.ru/news/tendencies/2023/12/18/318790.phtml,48.0,96.0,44.0,0.0,1.6,27.8,,
14,2023-12-18 07:49:00,Иванов Иван Иванович,Право,318789,https://adindex.ru/news/right/2023/12/18/318789.phtml,23.0,95.0,22.0,20.0,1.0,15.0,,
15,2023-12-18 07:29:00,Борисова Ольга Борисовна,Маркетинг,318788,https://adindex.ru/news/marketing/2023/12/18/318788.phtml,18.0,74.0,16.0,0.0,2.583333335,147.25,,
16,2023-12-18 07:18:00,Данилова Светлана Викторовна,Тенденции,318787,https://adindex.ru/news/tendencies/2023/12/18/318787.phtml,77.0,146.0,76.0,0.0,2.2669491525,124.3333333325,,
17,2023-12-18 07:08:00,Андреева Анастасия Андреевна,Кадры,318786,https://adindex.ru/news/hr/2023/12/18/318786.phtml,94.0,142.0,90.0,0.0,1.0,15.0,,
18,2023-12-16 12:00:00,Григорьева Людмила Григорьевна,Маркетинг,318768,https://adindex.ru/news/marketing/2023/12/15/318768.phtml,39.0,89.0,36.0,0.0,1.618421055,70.875,,
19,2023-12-15 20:25:00,Андреева Анастасия Андреевна,Медиа,318741,https://adindex.ru/news/media/2023/12/15/318741.phtml,5.0,12.0,5.0,33.33333333,1.66666667,453.66666667,,
20,2023-12-15 18:48:00,Андреева Анастасия Андреевна,Тенденции,318766,https://adindex.ru/news/tendencies/2023/12/15/318766.phtml,5.0,48.0,5.0,0.0,8.833333334999999,1596.583333335,,
21,2023-12-15 13:20:00,Васильева Екатерина Васильевна,Кадры,318545,https://adindex.ru/news/hr/2023/12/15/318545.phtml,3.0,3.0,3.0,75.0,1.0,8.75,,
22,2023-12-15 12:34:00,Андреева Анастасия Андреевна,Медиа,318486,https://adindex.ru/news/media/2023/12/15/318486.phtml,10.0,17.0,10.0,0.0,2.166666665,37.785714285,,
23,2023-12-15 11:59:00,Петрова Мария Сергеевна,Пресс-релизы,318413,https://adindex.ru/news/releases/2023/12/15/318413.phtml,436.0,481.0,422.0,23.14814815,1.0,18.0,,
24,2023-12-15 11:52:00,Григорьева Людмила Григорьевна,Медиа,318437,https://adindex.ru/news/media/2023/12/15/318437.phtml,2.0,11.0,2.0,0.0,5.5,106.0,,
25,2023-12-15 09:45:00,Васильева Екатерина Васильевна,Digital,318382,https://adindex.ru/news/digital/2023/12/15/318382.phtml,11.0,69.0,11.0,0.0,2.33333333,669.0,,
26,2023-12-15 07:54:00,Андреева Анастасия Андреевна,Тенденции,318379,https://adindex.ru/news/tendencies/2023/12/15/318379.phtml,1.0,1.0,1.0,0.0,1.0,14.0,,
27,2023-12-15 07:42:00,Данилова Светлана Викторовна,Маркетинг,318378,https://adindex.ru/news/marketing/2023/12/15/318378.phtml,15.0,35.0,15.0,50.0,1.714285715,30.785714285,,
28,2023-12-15 07:34:00,Борисова Ольга Борисовна,Digital,318377,https://adindex.ru/news/digital/2023/12/15/318377.phtml,8.0,32.0,7.0,25.0,1.5,32.0,,
29,2023-12-15 07:17:00,Данилова Светлана Викторовна,Право,318376,https://adindex.ru/news/right/2023/12/15/318376.phtml,21.0,25.0,21.0,23.80952381,1.19047619,55.66666667,,
30,2023-12-14 19:06:00,Сидоров Антон Владимирович,Тенденции,318374,https://adindex.ru/news/tendencies/2023/12/14/318374.phtml,1.0,9.0,1.0,0.0,9.0,567.0,,
31,2023-12-14 17:31:00,Петрова Мария Сергеевна,Креатив,318371,https://adindex.ru/news/creative/2023/12/14/318371.phtml,5.0,25.0,5.0,0.0,3.4166666675,481.6666666675,,
32,2023-12-14 16:22:00,Григорьева Людмила Григорьевна,Исследования,318368,https://adindex.ru/news/researches/2023/12/14/318368.phtml,12.0,14.0,12.0,10.0,1.0,13.0,,
33,2023-12-14 13:46:00,Егорова Надежда Андреевна,Креатив,318361,https://adindex.ru/news/creative/2023/12/14/318361.phtml,4.0,11.0,4.0,0.0,1.0,15.0,,
34,2023-12-14 12:10:00,Андреева Анастасия Андреевна,Тенденции,318350,https://adindex.ru/news/tendencies/2023/12/14/318350.phtml,1.0,10.0,1.0,0.0,10.0,230.0,,
35,2023-12-14 10:30:00,Егорова Надежда Андреевна,Маркетинг,318336,https://adindex.ru/news/marketing/2023/12/14/318336.phtml,2.0,4.0,2.0,50.0,2.0,23.0,,
36,2023-12-14 10:05:00,Васильева Екатерина Васильевна,Право,318335,https://adindex.ru/news/right/2023/12/14/318335.phtml,2.0,2.0,2.0,0.0,1.0,15.0,,
37,2023-12-14 09:01:00,Жукова Ирина Ильинична,Digital,318334,https://adindex.ru/news/digital/2023/12/14/318334.phtml,7.0,9.0,7.0,18.75,1.1875,25.25,,
38,2023-12-14 08:34:00,Васильева Екатерина Васильевна,Маркетинг,318333,https://adindex.ru/news/marketing/2023/12/14/318333.phtml,9.0,44.0,8.0,0.0,1.5,18.75,,
39,2023-12-14 07:59:00,Григорьева Людмила Григорьевна,Право,318331,https://adindex.ru/news/right/2023/12/14/318331.phtml,52.0,68.0,51.0,0.0,7.0,464.0,,
40,2023-12-14 07:34:00,Петрова Мария Сергеевна,Digital,318330,https://adindex.ru/news/digital/2023/12/14/318330.phtml,6.0,54.0,6.0,0.0,5.5,1179.25,,
41,2023-12-14 07:10:00,Егорова Надежда Андреевна,Право,318328,https://adindex.ru/news/right/2023/12/14/318328.phtml,3.0,4.0,3.0,25.0,1.5,36.25,,
0,,,,,,,,,,,,,
